,Société,abs_good_com,abs_bad_com,abs_good_value,abs_bad_value,abs_good_efficacy,abs_bad_efficacy,n
0,Anytime,3732,816,2324,612,2879,465,6828
1,Boursorama Banque,2997,1314,2291,995,2487,814,6710
2,Cofidis,12683,1039,8713,632,10485,527,19938
3,Crédit mutuel,184,453,153,408,143,340,1013
4,Floabank,3492,1661,2250,1207,2795,1076,7766
5,Fortuneo,2056,1185,1604,949,1648,646,4748
6,Hello bank!,382,583,288,491,299,397,1442
7,Immoprêt,3776,295,2782,273,2985,194,5320
8,Kard,791,82,506,48,652,67,1415
9,LCL,234,611,174,545,160,391,1261
10,La Banque Postale,228,2050,185,1743,199,1474,3526
11,BNP Paribas,280,933,186,809,190,667,1880
12,Ma French Bank,1397,448,858,292,1130,267,3127
13,Monabanq,2277,788,1518,622,1732,483,4741
14,Oney,1166,1694,942,1439,1041,1297,4666
15,Orange Bank,6742,2141,3818,1518,4924,1068,14222
16,Pixpay,2769,140,1969,134,2268,189,4314
17,SOFINCO,530,341,355,263,438,203,1292
18,Shine,1572,174,1053,129,1215,138,2429
19,Société Générale,262,861,207,767,193,595,1763
